FullHaul,DumpingTime,EmptyHaul,LoadingTime,CycleDistance,TotalCycle,MinedTonnes
13,0.3,14.6,3.7,5.5,31.7,810.9
15.4,0.2,12,4.3,6.9,32.2,1756.95
12.6,3,10.6,2.8,6.7,29.4,1216.35
11,2.1,13.8,2.3,4.9,30.6,1892.1
15.2,0.3,9.9,4,8.2,30.2,2297.55
14.2,0.6,16.3,3.2,8.6,36.7,2162.4
14.8,0.1,22.2,3.2,8.6,40.3,135.15
14.6,0.1,42.8,2.7,4.2,60.2,135.15
14.2,0.5,18.3,4.2,7.4,38.5,1081.2
13.2,3,17,3.5,8.4,38,810.9
13.9,0.1,15.5,4.1,7.1,33.7,1892.1
16.1,1.7,11.3,2.1,7.4,32.8,1351.5
14.2,0.1,11.1,2,6.5,27.4,1621.8
13.3,2.3,12.1,1.9,7.4,32.3,1486.65
17.7,0.6,10,2.2,3.8,30.5,1216.35
15.8,6.1,11.7,3.9,6.6,37.7,540.6
14.8,0.1,21.1,3.3,4.9,39.3,540.6
0.1,0.5,43,1.8,7.8,46.1,135.15
0.2,0.3,5,1.6,7,8.5,405.45
6.9,0.1,12.2,2.3,7,23.8,1081.2
0.3,0.2,15,3.6,5.8,19.9,675.75
10.7,0.2,9.5,3,5.6,25.3,1621.8
17.5,0.1,9.7,5.1,5.4,32.4,675.75
14.3,2.9,13.8,4.1,9,35.1,405.45
16.8,0.4,11.7,3.5,7.3,33.3,1486.65
13.7,3,11.2,2.9,7.5,31.7,2297.55
13.8,0.4,22.6,1.3,4.1,38.1,810.9
17,0.3,11.8,4.4,4.7,34.6,675.75
12.5,0.1,7.9,2.8,6.1,24.3,1216.35
15.9,0.2,45.9,2.9,3.9,64.9,270.3
11.1,0.4,50.8,1.8,4.1,64.1,405.45
12.2,0.3,16.9,1.1,4.1,30.5,405.45
9.6,0.4,12.7,3.4,5.7,26.1,405.45
10.5,0.1,9.8,1.5,4.2,21.9,540.6
9.8,1.3,17.1,2.5,5.8,32.8,1351.5
10.4,3.7,18.4,3.3,5,35.8,675.75
14.4,0.3,12.8,3.5,7.5,32.3,1621.8
15.6,0.2,18,2.7,7,37.8,1081.2
0.2,0.1,17.1,2,8.1,19.5,810.9
0.2,0.1,28.4,2.6,6.3,31.9,810.9
2.9,0.1,3.5,1.1,7,8.5,810.9
0.1,0.4,25.8,2.7,8.1,29.1,810.9
11.8,2.7,12.1,2.6,9.5,31.6,675.75
13.8,0.4,11.4,2.6,7,29.1,1486.65
8.3,2.4,26.8,2.2,6.8,40.6,540.6
10.3,4.6,12,3.6,7.7,33.6,1081.2
14.7,0.2,15.4,1.7,4.4,32.7,1351.5
14.8,0.5,12.8,3.9,8.1,32.1,1081.2
8.8,2.1,15.7,3.6,5.6,36.7,270.3
11.7,0.2,14.3,3,8.2,29.5,270.3
11.6,4.1,9.2,3.5,6.6,29.3,2297.55
8.3,0.2,7.5,1.2,3.7,17.3,1351.5
13.7,0.1,10.5,2.9,7,28.7,1081.2
13.3,0.1,11,3.2,6.8,28.9,2027.25
14.1,0.2,12.6,3.2,6.2,30.4,2162.4
9.2,2.4,14.3,4,6,31,2567.85
11.6,0.6,7.7,3.2,6.5,25.7,1892.1
13.6,0.8,20.3,3.9,6.7,40.2,1486.65
5.7,1.3,3.7,0.8,2.5,11.5,1081.2
15.5,0.3,8.4,4.4,7.6,31.3,1216.35
14.2,0.1,10.6,3.5,8.2,28.9,946.05
12.4,0.3,12.7,2.7,7.8,28.1,270.3
15.4,0.2,9.5,3.5,8.3,29,1351.5
14.5,0.2,11.9,3,4.3,29.6,405.45
13,0.2,14.4,3.8,7,32.5,1892.1
15.4,3.7,10.4,3.3,8.8,33.4,675.75
15.4,0.1,12.4,3.5,5.3,31.4,1892.1
15.4,4.2,7.5,2.6,9,32.8,540.6
0.1,0.7,7.3,3.6,7.2,14.3,270.3
15.1,2.4,11.4,3.7,9.3,34.1,810.9
16.1,0.2,12.3,2.5,5.2,31.1,810.9
16.5,3.6,8.9,6.4,8.1,39.3,810.9
14.9,6.6,7.8,6.3,11.4,41.7,270.3
16.2,0.2,12.5,4.4,4.4,33.3,405.45
15.2,0.4,11.8,1.9,7.2,29.9,2027.25
12.6,2.2,6.1,2.7,6.9,24.1,946.05
14,2.4,25.4,2.2,4.1,44,540.6
16.4,0.1,9.3,1.6,8.2,28.3,1621.8
14.6,5,7.4,2.1,6.9,29.7,1351.5
17.9,0.2,15.2,2.9,6.7,38.5,810.9
13.9,1.5,7.7,3,5.5,26.5,1486.65
16.6,0.3,11.9,2.7,7.5,32.5,1756.95
15.5,0.3,11,3.8,7.8,34.6,1351.5
16.2,0.4,13.3,4,9.4,36.8,946.05
12.5,3.5,16.7,2.6,6.9,37.1,1756.95
13.3,0.3,7.5,1.6,6.3,23.6,2567.85
15.2,0.5,12.7,4.1,6.8,34.2,1486.65
9.7,0.5,6.4,2.3,3.9,23,405.45
9.2,0.9,8.7,3.3,7.7,22.1,135.15
10.9,0.8,11.4,2.1,5.1,26,2162.4
12.5,3.4,22.9,3,7.8,44.9,135.15
12.5,3.3,8.9,3.2,7.5,28.7,1486.65
14.5,0.7,14.6,2.5,6.1,33.2,1351.5
10.2,2.6,14.3,3.6,6.1,31,1756.95
18.2,0.2,16.9,1.8,6.5,37.1,405.45
13.6,0.2,20,8.8,6.7,42.6,135.15
14.6,2.8,5.1,6.6,6.8,31.4,270.3
13.1,0.8,12.2,6.4,6.8,32.6,270.3
17.1,3.3,36.1,4.1,4.2,60.6,135.15
14.2,2.9,15,4.8,8.3,37.1,135.15
20.5,0.2,4.7,6.2,6.2,31.6,270.3
13.5,3.5,20.2,6,6.8,43.2,405.45
13.6,5.4,6.9,7,5.5,32.9,405.45
10.8,3.6,16.6,5,5.2,36.1,270.3
16.5,3.6,13.8,3.8,6.3,37.7,540.6
17.8,0.2,32.4,4,5.6,54.4,675.75
17.5,0.1,14.1,1.7,4.8,33.4,135.15
14.4,0.1,2.3,5.8,7.9,22.6,135.15
8.9,0.1,13.9,2.6,6.9,26,1892.1
14.5,1.8,11.8,2.7,7.7,31.6,270.3
14.5,0.3,9.8,3,7.7,29,1486.65
19.9,0.3,13.4,1.7,8,39.3,270.3
15.9,1.9,9.5,2.5,6.9,30.2,540.6
14.7,0.2,11,4.3,6.1,30.8,675.75
14.3,0.1,19.3,5,6.2,39.2,810.9
13.1,0.6,21.6,3.5,7.7,39.3,540.6
16.6,2.6,22.8,1.7,7.5,44.9,135.15
18.2,0.2,7.4,10.7,5.8,36.5,135.15
12.2,3.6,26.3,6.2,5.7,48.3,270.3
15.4,0.1,13.4,4.7,7,35.2,675.75
16.2,2.4,41.9,3.4,5.5,64,270.3
16.5,0.2,18.6,4.8,5.8,42.7,946.05
13.6,0.1,10.8,3.6,9,28.4,675.75
13.6,0.3,17.1,4.1,4.3,35.1,135.15
21.3,0.2,59.8,3.9,6.6,86.6,1216.35
13.1,0.8,15.3,5.1,7.4,36.4,1081.2
7.6,0.2,29.7,3.2,7.7,40.7,135.15
10.5,10.9,8.5,5.4,8.5,40.6,405.45
13.1,2.5,5.1,4.2,6.4,25.7,270.3
9.8,1.5,2.9,3.8,4.7,21.1,405.45
13.8,0.1,15.1,4.1,3.4,33.1,405.45
18.1,0.2,6.4,4.4,7,29.3,270.3
17.6,0.7,7,5.2,6.8,30.6,540.6
7.1,0.4,15.3,2.8,5.4,26,270.3
12.6,8.6,13.7,4.3,7.9,39.3,135.15
15.4,0.1,11.8,5,8.2,32.5,135.15
12.8,3.6,16.4,4.8,8.2,38.3,405.45
15,0.8,11.4,5.7,7.4,37.1,1351.5
14,1.5,19.9,4.9,8.4,40.3,135.15
19.6,0.1,10.2,4.7,7.5,34.7,810.9
9.9,5,8.2,3.9,4.6,28.4,675.75
12.9,1.8,34.1,4.1,7.3,52.9,135.15
9.1,0.6,28.4,7.1,6.8,46.7,270.3
11.8,0.2,6.7,5.9,6.7,25.4,270.3
15.6,2.7,7.6,5,8.1,31,270.3
14.7,0.2,12.3,5.9,7,34.7,675.75
11.4,1.4,12.3,3.8,5.3,29.8,810.9
12.4,5.7,19.5,4.3,6.7,43.1,270.3
10.2,1.7,12.6,4,4.1,29.7,1081.2
14.6,0.2,13.2,3.2,8,32.8,1081.2
14.2,0.4,9,3.3,6.9,29,1216.35
13.4,2,9.3,3.2,6.9,28.1,135.15
14.2,2.4,10.8,3.6,6.8,31.7,810.9
15.4,0.1,16.7,3.6,5.6,35.8,270.3
14.4,0.3,12.5,4.1,8.2,33.7,946.05
17.3,0.3,19,3.7,6.9,40.3,1081.2
13.3,0.2,49.6,5.3,8.5,68.4,135.15
18.9,0.1,18.9,3,8.2,41,135.15
19.1,0.2,13.5,3.5,5.8,37.4,1081.2
14.1,3.3,8.4,4.5,8.4,32.1,675.75
17.1,0.3,14.1,3.5,5.2,35.4,1621.8
16.1,2.6,6.8,5.1,7,32.3,946.05
14.6,3.1,6.3,5,8.6,31.4,270.3
11.8,2.9,13.6,3.9,7.1,32.3,1621.8
22.7,0.1,14.5,6.2,8,43.7,1216.35
13.7,0.2,12.9,4.9,7.7,32.8,1216.35
16.9,0.4,23.1,7.1,8,49,540.6
14.1,3.2,11.9,4,7.7,35,1216.35
11.9,3,24.4,4.9,8.3,45.3,540.6
15.5,0.2,13.1,5.2,8.2,36.7,1892.1
12.2,2.6,28.2,3.7,6.6,46.8,675.75
0.4,0.3,32.2,2.2,3.8,35.1,135.15
9.4,1.3,15.8,4.7,5.8,32.8,405.45
12,2.1,16.2,4.1,7.1,34.6,1351.5
14.2,2,22.2,1,4.3,39.4,135.15
14,3.7,12.7,4.2,7.5,34.7,540.6
17.4,0.3,12.8,2.4,7,34.9,675.75
16.2,0.5,15.8,3.2,8.5,38.1,1621.8
17,0.2,7.3,3.6,7.4,28.2,405.45
12.6,1.4,10.3,7.5,7.3,32,270.3
15.5,0.7,36.8,5.7,7.5,59.1,270.3
16,1.1,13,4.9,8.3,35.7,810.9
13,2.6,17.6,3.4,6.1,36.7,946.05
11.1,2.4,9.6,3.4,6.2,28.3,1081.2
15.5,0.1,5.2,4.2,4.7,25,405.45
9.2,3.1,32.8,3.3,7.7,48.5,135.15
19.2,0.1,4.7,7,6.6,31.6,405.45
13.2,1.5,11.8,4.8,7.6,33.9,1351.5
14.5,2.4,10.4,4.4,7.9,32.7,1756.95
17.4,0.2,12.7,3.8,8.3,36.4,1216.35
12.8,0.2,8.5,4.4,6.2,27.5,270.3
12.1,3.5,10.9,4.3,8.3,32.2,270.3
10.5,2,33.7,5.3,6.9,52,405.45
13.2,2.4,23.3,4.6,6.5,45.2,270.3
19.6,0.1,12.6,4.9,7.8,39,946.05
12.6,1.9,8.7,4.2,8.5,30.4,946.05
14.8,0.4,17.1,4.7,7.2,39.9,1216.35
10.9,1.6,3.3,3.1,6.1,19,540.6
21.9,0.5,2.8,4.6,6.2,30.1,270.3
14.2,3.3,11.4,4.8,8.1,34.9,1351.5
18.1,0.3,15.9,2.9,5.1,37.2,1486.65
17.9,0.1,18.8,6.3,7.5,45.5,1351.5
13.4,2.2,11.2,4.5,7.5,36.1,540.6
16.9,0.2,13.3,4.8,8.4,35.2,135.15
14.9,0.5,10.4,4.2,6.3,31.6,1892.1
13.5,0.2,9.5,3.9,5.6,27.3,1351.5
11.7,2.3,11.6,5,6.7,31.8,405.45
19.2,2.4,15.4,2.5,6.4,42.4,270.3
15.5,1.3,6.9,5.1,7.8,32.9,540.6
13.2,0.2,3.5,8.4,7.8,25.3,135.15
15.2,0.3,12.1,4.8,7.8,36.6,135.15
17.7,0.1,16.3,6.5,6.9,41.8,540.6
13.4,3,7.8,3.3,6.1,29,1756.95
15.4,0.1,22.6,6.2,8,44.6,540.6
14.3,0.2,11.3,2.7,6,29.5,540.6
14.3,2.7,8.1,1.9,4,27,135.15
16.6,0.1,6.7,4.5,6.2,28,270.3
15,3.7,10.1,3.6,7.9,33.1,540.6
16.4,3.3,0.9,4.7,7.8,25.4,135.15
12.8,0.5,11.9,3.1,6.9,32.7,135.15
15.2,4,13,1.7,3.7,33.9,135.15
15.6,3.2,48,5.2,7.7,72.1,135.15
12.5,1.7,9.9,3.8,8.1,28.9,405.45
17.9,0.2,29.4,1.5,5.4,49,270.3
16,0.2,11.8,2.6,5.5,30.6,270.3
16.1,10.5,37.8,6.4,9.3,70.8,135.15
1.6,0.8,15.3,5.6,4,24.9,675.75
1.6,1.8,0.7,6.6,3.7,10.7,135.15
14.6,0.2,3.5,3.4,2.1,21.7,135.15
20.2,0.1,9.8,2.1,7,32.6,675.75
16.1,2.6,16.3,3,6.4,38,135.15
16.4,3.2,12.5,3,4,35.1,135.15
18.9,0.3,7.5,1.5,6.6,28.8,405.45
12.5,3,19.8,3.8,4.6,39.2,405.45
15.5,0.1,22.8,2.1,8.9,40.6,675.75
11.5,2,11.7,1.6,4.8,27.2,810.9
14.8,1.8,10.4,2.5,6.8,29.6,675.75
14.3,1.2,19.5,5.2,6.8,43.8,270.3
13.5,0.5,15,2.7,7,33.3,405.45
16.4,2.6,7.8,2.7,8,31.1,1351.5
16.8,0.3,11.3,2.3,8.5,31.3,2297.55
15.9,0.3,13.9,1.7,7.7,32.3,1892.1
12.5,0.1,9.9,1.6,7.1,24.2,405.45
14.4,0.1,11.6,3.5,7.5,29.7,270.3
12.1,0.2,10.1,3.4,6.1,25.8,270.3
9.7,0.1,18.8,2.6,5.4,33.1,540.6
19.5,0.1,13.7,1.3,7.5,34.6,270.3
10.2,0.2,6.9,1.3,3.7,19,1216.35
11.8,0.7,21.4,0.6,5,34.5,135.15
14.5,0.3,20.8,3,6.6,38.6,405.45
13.5,0.9,16.2,3.5,6,35.6,540.6
12.3,0.4,12.5,3.2,6.9,28.5,135.15
14.1,0.3,28.7,3.7,4.8,46.8,675.75
10.9,0.5,16.8,2.5,8,30.8,405.45
13.1,0.3,13.6,1.8,6.9,28.9,135.15
15.5,0.7,17.4,2.5,6.9,37.5,405.45
12.3,29.7,28.8,3.7,7.6,74.6,135.15
15,1.7,11.7,4.1,7.2,32.6,1081.2
8.5,0.1,9.8,2.2,4.6,25.3,1081.2
2.3,0.4,82,4.6,7.2,91.1,135.15
42,0.1,10.3,2.2,8.3,54.7,1081.2
18.1,0.1,12.2,3,4.9,33.4,135.15
15.2,0.2,22.1,1.8,5.6,39.3,270.3
16.4,1.1,11.9,2.8,6.9,38.3,540.6
14.3,1.3,7.3,3.3,12.2,26.3,270.3
14.6,0.2,13.2,2.8,8.4,31.1,270.3
14.6,2.2,13.7,2.8,8,36.5,1216.35
14.8,0.1,16.6,3.6,10.9,35.1,810.9
10.9,0.2,3.7,1.6,4.2,16.6,810.9
14.4,1,13.5,2,7.8,32.1,810.9
15,0.5,14.1,1.9,7.3,31.7,1216.35
14.8,0.5,11.8,2.2,7.7,32.3,2162.4
14.9,1.2,8.9,3.2,7.6,29.9,405.45
10.7,0.3,6.9,1.7,5.1,19.6,675.75
1.5,0.3,23,3.1,7.5,28.1,135.15
12.1,0.4,15.6,2.5,6.8,32.2,540.6
8.1,5.3,13.2,2.7,7.2,31.8,810.9
12.1,0.2,12.4,3.7,3.7,28.4,270.3
14.1,7,11.2,2.6,7.4,35.1,135.15
14.4,1.2,18.3,2.6,9.1,36.7,946.05
9.5,0.2,11,1.9,4.4,23.2,1756.95
8,2.4,10.4,2.3,5.2,23.1,946.05
12.1,0.4,13.5,2.8,8.2,29.2,1216.35
9.3,2.8,15.1,3.3,5.9,31.8,1621.8
12.7,1.8,21.6,2.8,7.4,41.6,1486.65
14.1,0.2,11.1,3.3,7,31.5,1621.8
13.2,0.1,0.4,4.8,3.9,18.5,135.15
4.1,0.1,23.3,3.6,7.5,40.4,135.15
10.6,0.1,11,1.8,7,23.5,135.15
13.4,5.5,10.4,2.7,7,35.9,135.15
13.8,0.6,19.3,4.6,7.4,54.3,135.15
8.2,1.2,15.5,2.8,3.5,27.7,540.6
12,0.3,15,3.9,5.5,33.4,270.3
15.5,0.1,4,4.6,3.4,24.2,135.15
9.9,1,4.4,3.6,7.9,19,405.45
14.2,0.4,11.3,2,7.9,29.7,540.6
12.9,0.2,12.6,3.2,7.1,30.2,1216.35
13.5,0.6,17.3,3.4,7.3,35.8,1756.95
13.1,0.4,10.7,2.3,7.7,27.3,2027.25
14,0.4,12.6,2.5,7,31.2,540.6
12.8,0.3,13.6,3.3,7,33.9,1621.8
14.4,0.2,11.1,2.3,6.7,28.9,1892.1
11.5,0.5,16.4,2.8,7.7,31.2,810.9
12.3,2.7,3.9,2.4,6.1,23.5,675.75
15.1,4.4,20.9,4.6,7.2,46.2,270.3
16.2,0.2,13.5,2.2,7.1,32.2,1081.2
18.1,2.5,13.5,1.9,7.7,36.7,675.75
13.3,0.2,12.1,1.8,6.6,28.5,1351.5
11.4,2.5,15.8,2.6,8.1,34.5,135.15
13.7,0.5,11.6,3.2,7.3,34.9,405.45
13.3,1.2,2.7,2.7,7.7,20.9,270.3
1.8,0.7,10.8,5.4,8,23.8,135.15
13.7,0.4,26.6,2.2,6.7,43,270.3
14.7,0.2,9.7,5.5,9.1,30.3,270.3
12.6,0.2,12.9,2.9,7.8,28.7,675.75
12.4,3.3,14,2.9,7.7,34.3,2027.25
7.7,0.1,7.3,2.2,5,17.5,1351.5
13.7,0.1,12.5,4,8,30.4,405.45
13.7,0.5,10.3,2.8,7.5,32,1756.95
10.6,0.9,19.4,3.1,6.4,34.2,1621.8
11.9,2.8,6.3,1.8,7,25.5,1892.1
18,0.1,5.2,3.1,7.6,27,270.3
15.8,0.1,17.4,3.6,6.3,39.8,540.6
12.3,1.7,11,2.5,7.3,29.1,675.75
11.5,0.1,5,4.9,3.6,22.8,405.45
3.9,1.3,19.8,3.7,1.7,30,270.3
3,1.2,10.7,2.5,2.4,19.2,270.3
8.4,0.4,6.3,4.5,2.1,20.3,405.45
10,0.8,2.5,4.8,4,20,540.6
9.7,0.1,5.5,3.8,3.2,20.7,2027.25
14.2,0.2,4.5,4.3,3.7,24.5,2297.55
16.5,0.1,7.6,4.6,5.1,28.8,270.3
7.3,0.2,3.8,3.2,1.4,14.8,405.45
12.7,0.1,5.5,4.8,4,24.5,540.6
16.6,1,6.9,3.6,4,28.2,135.15
9.6,0.2,3.7,5.3,4,19.1,270.3
3.7,1.6,0.7,3.8,1.3,12.3,540.6
12,0.2,42,4.3,4,58.6,135.15
8.3,0.6,18.5,5.1,4,35.8,405.45
18.6,0.3,1.3,6.6,5.1,26.8,135.15
14.1,0.2,4.3,3.7,4,24.4,405.45
14.6,0.2,3.9,4.6,3.9,23.9,2162.4
11,0.2,54.1,6.7,3.9,72.7,1621.8
9.5,0.1,3.7,5.2,4,19.9,270.3
8.3,0.1,9.6,5.4,2,23.8,675.75
14.8,0.1,7.8,4.1,4,27.1,405.45
4.7,1.6,20.9,5.9,2.1,37.4,405.45
13.6,0.1,19.2,1.8,5.2,34.8,270.3
7.1,0.2,13.4,5.3,5.6,27.6,405.45
10.8,2.7,6.4,5.7,5,25.8,946.05
9.6,0.3,4.3,4.4,2.7,19.3,3243.6
7,0.2,4,0.2,4.2,11.4,135.15
8,0.1,7.5,8.6,2.2,24.5,405.45
6.6,0.1,7.6,8.6,6.7,23,135.15
13.1,0.6,5.4,5.6,6.9,27.6,540.6
2.4,1.1,0.7,5.1,1.2,9.8,270.3
7.7,0.9,4.5,4.5,3.8,19.3,810.9
8.7,0.3,8.8,6.5,7.2,26.2,540.6
8.9,0.2,3.4,4.9,2.7,18.2,1756.95
11.5,0.2,7.5,4.9,3,24.1,675.75
10.9,1,10.7,4.9,5.7,30.5,810.9
9.1,0.2,10.9,5.2,4,25.7,1081.2
1.8,0.7,1.7,7.7,3.8,11.9,135.15
11.3,4.9,12.1,5.5,6.9,33.8,675.75
9.4,3,5.1,4.8,6.7,22.5,270.3
10.4,1,7.8,5.2,6.2,25.5,1351.5
6.9,1,7.4,6.8,5.7,22.1,405.45
11.3,0.2,4.9,5.1,3.3,21.7,675.75
12.5,0.1,0.4,1.8,2.1,14.8,135.15
4.8,3.6,7.7,6,2,23.8,1081.2
3.7,4.4,7.5,5.1,1.5,21.5,540.6
3.8,2.5,8.8,6.7,2.2,26.4,405.45
3.4,3.2,9.4,7,1.7,23.2,540.6
11.4,0.2,6.9,5.6,3.6,24.5,1621.8
10.8,0.1,11.2,3.5,2.1,26.9,405.45
6.7,1.8,7.2,5.3,2.7,21.6,675.75
8.9,2.2,7.5,4.6,3.1,23.7,2027.25
8.6,0.4,4,5.3,3.4,19.1,2027.25
11.6,2.9,4.9,6.3,4.2,25.7,270.3
11.8,0.2,6.4,4.6,5.3,23.7,675.75
8.4,1.9,3.9,3.9,4.2,18.1,135.15
8.8,1.2,6.6,5.1,6.3,21.8,540.6
9.5,0.3,4.5,4.6,3.9,19.3,2297.55
12.3,0.2,5.6,5.3,1.7,23.4,540.6
9.3,0.4,6.8,4.9,2.4,21.4,540.6
13.9,0.3,3,4.2,2.7,21.4,405.45
9.8,0.7,2.2,5.3,3.1,21.3,1486.65
10.4,0.2,8.6,7.8,1.8,27,810.9
7.3,0.1,0.7,4.4,2.9,12.5,135.15
12.1,0.6,6.8,7.8,1.7,27.6,270.3
5.6,0.2,5.6,2.8,2.1,14.2,1756.95
16.8,0.2,1.8,6.6,4.4,25.7,675.75
5.5,0.3,9.1,6.1,2.3,23.9,270.3
10.1,0.8,7.1,6.2,1.6,27.3,810.9
6.2,2.3,3.9,9,1.8,24.3,946.05
11.1,0.2,5,5.9,2.3,22.7,2567.85
10.6,0.2,6.8,6.3,2,24.6,2027.25
10.1,0.2,6.5,8,4.7,39.6,135.15
6.8,0.1,5.8,6,0.9,18.7,270.3
10.5,5.6,10.6,7.7,3.8,34.4,405.45
10.7,0.2,4.7,5.8,2.9,23.1,2567.85
12.5,0.2,29.3,8.3,5.4,53.4,135.15
13.2,1.8,2.9,10.1,4,28,405.45
14.4,4.3,11.5,2.8,7,34.9,1486.65
17.4,4.8,2.8,3.6,8.1,31.9,270.3
16.2,1.7,6.9,2.6,7,27.5,675.75
11.1,1.9,9.3,2.9,7,25.4,405.45
15.6,1.9,15.3,3.1,8.1,36.4,675.75
13.3,0.2,13.1,1.9,7.9,31.9,1216.35
11.6,1.9,11.9,2.5,5.8,28,1351.5
8.2,2.5,12.7,3.2,5.7,27,2027.25
13.2,0.1,12.7,3,7.4,29,946.05
12.7,3.5,8.4,2.9,7.5,28.3,135.15
10.3,0.3,14.5,1.3,5.7,26.6,135.15
18.3,0.1,0.2,1.7,9.8,20.3,270.3
11.3,0.3,8.8,1.7,6.7,22.2,946.05
15.7,0.3,16.8,2.8,7.9,35.7,675.75
14.7,1.8,26.3,3.3,8.1,46.3,1216.35
12.2,3.7,22.2,2.5,6.5,40.7,1081.2
12.4,0.2,29.1,2.2,9.5,44,405.45
16.4,3.8,6,1.9,7.6,28.7,540.6
15.7,2.5,21.3,2.8,8.8,42.5,810.9
14.5,0.2,12.4,2.8,9.2,30.2,946.05
18,19.4,28.8,2.4,8.3,71,270.3
20.4,0.1,41.6,4.1,7,69.4,270.3
11.1,1.5,14.3,1.6,6.6,29.1,540.6
15.2,0.1,12.2,3.2,7.9,31.8,1486.65
15.6,0.3,11.9,2.7,8.5,33.3,2027.25
10.6,1.9,3.7,2.1,8.5,18.4,675.75
15.1,0.1,0.3,2.6,4.1,18.1,135.15
17.4,0.5,12.9,3,8.6,36.9,1756.95
15.1,0.1,3.9,2.2,3.9,21.3,135.15
6.5,0.3,23.4,4.2,8.1,47.8,135.15
10.2,0.3,13.9,2,4.4,27,946.05
15.4,0.1,8.6,1.5,7.5,27.1,540.6
10.2,0.1,11.6,1.9,5.7,25.5,2703
10.4,0.2,6.6,1.2,5.3,19.1,2838.15
14.4,0.1,21,1.9,8,41.3,1756.95
14.4,0.5,8.5,2.3,6.5,26.4,2027.25
12,1,13.3,2.5,7,29.5,2567.85
17.9,0.4,10.5,2.2,8,31.5,2027.25
12.8,1.4,21.9,3.1,7.3,42.9,540.6
6.5,0.2,17.3,0.9,7.6,28,135.15
19.7,0.2,7.3,1.3,8.9,28.6,405.45
12.7,2.2,3,2.4,6,22.6,1216.35
13.8,5,14.6,3.1,4,36.6,135.15
20.9,0.1,16,3.7,5.9,40.9,270.3
15.4,0.5,10.8,3.1,6.8,30.8,2162.4
10.3,0.3,13.4,3.6,7.5,29.2,1486.65
10.4,0.6,15.8,2,6.4,30.3,1351.5
14.4,2.2,5.5,3.4,8,25.7,675.75
14.1,0.2,12,2.4,7.5,29.6,810.9
15.7,12.5,16.4,2,3.8,46.6,135.15
13.9,0.1,10,3.7,6,28,1216.35
15.1,0.2,17.3,2.8,7.6,35.4,135.15
12.7,4.1,6.6,2.2,7.4,27.8,2838.15
13.1,0.1,64.2,3,11.5,80.9,135.15
11.9,2.1,7,2.6,7.3,23.9,1351.5
12.1,3.5,9.8,3.2,8.4,32,405.45
22.6,0.1,4.6,1.3,8.3,28.6,135.15
16.6,1.7,8.3,2.8,9.8,31.1,540.6
15.1,0.2,18.8,4.3,8.8,38.4,135.15
11.3,0.1,10.6,2.4,4,24.4,270.3
12.1,2.4,5.6,2.5,7,25.2,810.9
15.6,0.3,11,2.6,9.2,32.9,810.9
16,0.2,6.4,1.7,9.1,27.6,405.45
14.1,2.5,5.6,2,8,25.7,405.45
16.6,0.3,14.1,2.3,6.3,35.6,1621.8
14.6,3.6,12.5,1.9,6.6,35.1,1621.8
12.8,0.2,12,2.1,4.6,27.8,1351.5
10.8,0.1,12,1.7,6.7,25.5,3108.45
15,0.2,10,2,8.2,31.9,2297.55
11.4,2.4,9.7,2.7,7.2,29.4,2027.25
11.9,2.7,29.6,3,7.4,50.4,135.15
13.9,0.3,11.1,2.1,8.2,30.3,1756.95
12.6,0.1,20.6,3.4,8.6,39.3,1486.65
13.2,0.2,15.6,3,7.3,34,1892.1
12.9,3.1,14,2.8,8.2,35.5,1892.1
15.3,0.2,4.6,2.3,6.5,26,540.6
12.7,0.3,15.2,1.6,8.2,30.8,1621.8
14.7,0.1,10.7,2.8,8.9,29.5,1351.5
14.7,0.2,8.9,2.7,8.1,33.1,1216.35
17.7,0.5,8.8,2.4,8.2,34.6,1621.8
20.8,7.3,4.3,2.2,8.2,39.9,270.3
12.5,0.6,21.7,3.2,5.6,38.3,946.05
10.3,2,10.5,2.9,8,27.4,135.15
16.8,0.1,13.2,2.1,7.5,32.6,1081.2
15.6,1.5,8.1,1.5,6,26.7,270.3
18.9,0.2,6.6,2.8,6,30,540.6
16.2,0.2,8.7,1.9,7.1,30.5,1486.65
13.5,2,10.4,2.3,8.3,31.7,2027.25
13,0.2,9.9,1.5,5.5,27,405.45
16.8,0.2,14.7,1.9,6.4,36,1756.95
16.8,0.5,16.4,2.2,8.6,40.3,1621.8
15.8,0.1,15.4,2.7,8.5,35,675.75
10.4,2,48.2,2.2,7.3,65.8,2297.55
14.5,0.2,11.2,2.4,7.1,28.4,1756.95
18.1,0.2,13.1,2.3,8.7,37.8,1621.8
17.1,0.2,20.6,2.3,8.8,43.5,1216.35
16.1,0.1,36.2,2.4,6.2,55.1,675.75
16.8,0.7,9.8,2.3,8.8,31.1,2027.25
14.7,0.5,9.3,3.4,8.1,28,270.3
15.8,0.1,21.1,3.3,7,40.4,135.15
12.6,0.7,15.4,7,6.9,37.1,270.3
11.3,0.4,17.3,3.1,6.7,34.6,405.45
14.9,0.2,18.1,2.3,7.7,37,1216.35
12.8,0.6,30.1,1.5,3.9,45,270.3
9.9,1,5,2.7,4.6,20.2,405.45
21.3,0.2,29.9,2.3,8.2,54.9,270.3
13.5,0.5,19.1,4,7.8,37.1,135.15
13.6,2.3,5.7,2.6,6.3,24.2,270.3
6.1,0.4,25.6,3.3,7,38.5,405.45
