model_name,mae,rmse,r2
Improved Baseline MLP (GridSearch),426.80580113883497,571.764088819421,0.2622861940054846
Improved Baseline GMDH (GridSearch),513.3058208404495,682.903976769229,-0.052382081708106654
MFO-MLP,430.92126814450353,579.4291777401213,0.24237397778295255
ZHA-MLP,410.8835091102013,547.8749267096912,0.32264395246015
CSA-MLP,411.0843511124193,551.4211944565612,0.3138468352334418
MFO-GMDH,503.9174379169059,663.4511057299316,0.0067192794665960065
ZHA-GMDH,554.8832346219274,2044.1987126693712,-8.429754417273704
CSA-GMDH,554.8832346219274,2044.1987126693712,-8.429754417273704
